,Neighborhood,Price,Number of Beds,Number of Baths
2677,"Commonwealth, Brighton, Boston","$3,800",5 Bed,2 Bath
2678,"Allston, Boston","$10,900",9 Bed,3 Bath
2679,"Commonwealth, Brighton, Boston","$5,200",6 Bed,3 Bath
2680,"Hyde Square, Jamaica Plain, Boston","$3,195",3 Bed,2 Bath
2681,"East Somerville, Somerville","$3,300",3 Bed,1 Bath
2682,"Lower Roxbury, Roxbury, Boston","$3,300",3 Bed,1 Bath
2683,"Kenmore, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$5,046",2 Bed,2 Bath
2684,"St. Elizabeth's, Brighton, Boston","$2,150",2 Bed,1 Bath
2685,"St. Elizabeth's, Brighton, Boston","$2,295",2 Bed,1 Bath
2686,"North Cambridge, Cambridge","$3,750",3 Bed,2 Bath
2687,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,900",2 Bed,1 Bath
2688,"Mid-Cambridge, Cambridge","$3,300",2 Bed,2 Bath
2689,"Ten Hills, Somerville","$3,895",4 Bed,2 Bath
2690,"Oak Square, Brighton, Boston","$4,000",5 Bed,2 Bath
2691,"Prudential - St. Botolph, Back Bay, Boston","$4,282",1 Bed,1 Bath
2692,"Lower Roxbury, Roxbury, Boston","$3,500",2 Bed,1 Bath
2693,"Central Maverick Square - Paris Street, East Boston, Boston","$2,260",1 Bed,1 Bath
2694,"North End, Boston","$2,800",2 Bed,2 Bath
2695,"Washington Square, Boston","$2,400",1 Bed,1 Bath
2696,"Back Bay East, Back Bay, Boston","$2,900",1 Bed,1 Bath
2697,"Coolidge Corner, Brookline","$3,500",1 Bed,1.5 Bath
2698,"Brookline Village, Brookline","$2,800",2 Bed,1 Bath
2699,"Watertown West End, Watertown","$2,050",2 Bed,1 Bath
2700,"Mission Hill, Boston","$3,650",4 Bed,1 Bath
2701,"Mission Hill, Boston","$2,100",1 Bed,1 Bath
2702,"Commonwealth, Brighton, Boston","$1,900",1 Bed,1 Bath
2703,"St. Elizabeth's, Brighton, Boston","$2,150",2 Bed,1 Bath
2704,"Commonwealth, Brighton, Boston","$4,200",5 Bed,2 Bath
2705,"Washington Square, Brookline","$1,850",1 Bed,1 Bath
2706,"Allston, Boston","$5,900",6 Bed,3 Bath
2707,"Neighborhood Nine, Cambridge","$2,350",1 Bed,1 Bath
2708,"Oak Square, Brighton, Boston","$2,600",3 Bed,1 Bath
2709,"Mission Hill, Boston","$5,500",5 Bed,2 Bath
2710,"Washington Park, Roxbury, Boston","$2,600",3 Bed,1 Bath
2711,"Coolidge Corner, Brookline","$3,750",3 Bed,2 Bath
2712,"Oak Square, Brighton, Boston","$3,300",3 Bed,1 Bath
2713,"Oak Square, Brighton, Boston","$2,800",3 Bed,1 Bath
2714,"Mission Hill, Boston","$3,400",3 Bed,2 Bath
2715,"Mission Hill, Boston","$6,150",6 Bed,3 Bath
2716,"Washington Square, Brookline","$4,900",4 Bed,2 Bath
2717,"Downtown Boston, Boston","$3,304",1 Bed,1 Bath
2718,"Commonwealth, Brighton, Boston","$2,275",2 Bed,1 Bath
2719,"Lower East Mills - Cedar Grove, Dorchester, Boston","$6,875",3 Bed,2 Bath
2720,"Coolidge Corner, Brookline","$4,500",4 Bed,2 Bath
2721,"Commonwealth, Brighton, Boston","$1,900",1 Bed,1 Bath
2722,"St. Elizabeth's, Brighton, Boston","$2,150",2 Bed,1 Bath
2723,"Commonwealth, Brighton, Boston","$4,200",5 Bed,2 Bath
2724,"Downtown Boston, Boston","$2,980",Studio,1 Bath
2725,"Downtown Boston, Boston","$4,495",2 Bed,2 Bath
2726,"Downtown Boston, Boston","$5,245",2 Bed,2 Bath
2727,"Prudential - St. Botolph, Back Bay, Boston","$4,900",3 Bed,2 Bath
2728,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,400",3 Bed,1 Bath
2729,"Oak Square, Brighton, Boston","$3,800",5 Bed,2 Bath
2730,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,000",1 Bed,1 Bath
2731,"St. Elizabeth's, Brighton, Boston","$6,600",6 Bed,4 Bath
2732,"Allston, Boston","$3,450",4 Bed,2 Bath
2733,"Lower Roxbury, Roxbury, Boston","$4,400",4 Bed,1 Bath
2734,"Downtown Boston, Boston","$10,166",3 Bed,2.5 Bath
2735,"D Street - West Broadway, South Boston, Boston","$6,999",3 Bed,2.5 Bath
2736,"Bay Village, Boston","$5,000",4 Bed,1 Bath
2737,"Cambridge Highlands, Cambridge","$3,200",2 Bed,2 Bath
2738,"Allston, Boston","$3,200",4 Bed,1 Bath
2739,"St. Elizabeth's, Brighton, Boston","$2,750",3 Bed,1 Bath
2740,"Prudential - St. Botolph, Back Bay, Boston","$3,675",3 Bed,1 Bath
2741,"Commonwealth, Brighton, Boston","$4,200",5 Bed,2 Bath
2742,"Downtown Boston, Boston","$2,980",Studio,1 Bath
2743,"Downtown Boston, Boston","$4,495",2 Bed,2 Bath
2744,"Downtown Boston, Boston","$5,245",2 Bed,2 Bath
2745,"Downtown Boston, Boston","$4,225",2 Bed,2 Bath
2746,"Prudential - St. Botolph, Back Bay, Boston","$4,900",3 Bed,2 Bath
2747,"Cummingsville, Woburn","$1,495",1 Bed,1.5 Bath
2748,"Coolidge Corner, Brookline","$4,900",4 Bed,1 Bath
2749,"Lower Roxbury, Roxbury, Boston","$3,500",3 Bed,1 Bath
2750,"Newton Corner, Watertown","$2,000",1 Bed,1 Bath
2751,"Downtown Boston, Boston","$3,650",2 Bed,1.5 Bath
2752,"Downtown Melrose, Melrose","$1,475",1 Bed,1 Bath
2753,"Mission Hill, Boston","$4,650",5 Bed,1 Bath
2754,"Commonwealth, Brighton, Boston","$3,700",4 Bed,2 Bath
2755,"Oak Square, Brighton, Boston","$2,050",1 Bed,1 Bath
2756,"Commonwealth, Brighton, Boston","$1,795",1 Bed,1 Bath
2757,"Commonwealth, Brighton, Boston","$1,950",1 Bed,1 Bath
2758,"Washington Square, Brookline","$3,235",2 Bed,2 Bath
2759,"Chinatown - Leather District, Boston","$4,100",2 Bed,2 Bath
2760,"Prudential - St. Botolph, Back Bay, Boston","$2,975",2 Bed,1 Bath
2761,"Downtown Boston, Boston","$2,980",Studio,1 Bath
2762,"Downtown Boston, Boston","$4,495",2 Bed,2 Bath
2763,"Downtown Boston, Boston","$5,245",2 Bed,2 Bath
2764,"Downtown Boston, Boston","$4,225",2 Bed,2 Bath
2765,"Prudential - St. Botolph, Back Bay, Boston","$4,900",3 Bed,2 Bath
2766,"Cummingsville, Woburn","$1,495",1 Bed,1.5 Bath
2767,"St. Elizabeth's, Brighton, Boston","$2,700",3 Bed,1 Bath
2768,"Kenmore, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,700",1 Bed,1 Bath
2769,"Commonwealth, Brighton, Boston","$2,500",2 Bed,1 Bath
2770,"Commonwealth, Brighton, Boston","$2,550",2 Bed,1 Bath
2771,"Hyde Square, Jamaica Plain, Boston","$3,300",3 Bed,2 Bath
2772,"Downtown Boston, Boston","$5,125",2 Bed,2 Bath
2773,"Commonwealth, Brighton, Boston","$3,500",4 Bed,1 Bath
2774,"Lower Roxbury, Roxbury, Boston","$3,850",3 Bed,2 Bath
2775,"Central Maverick Square - Paris Street, East Boston, Boston","$2,750",3 Bed,2 Bath
2776,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,650",2 Bed,1 Bath
2777,"Commonwealth, Brighton, Boston","$1,875",1 Bed,1 Bath
2778,"Meeting House Hill, Dorchester, Boston","$2,800",4 Bed,2.5 Bath
2779,"Oak Square, Brighton, Boston","$1,850",1 Bed,1 Bath
2780,"Kenmore, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,000",1 Bed,1 Bath
2781,"Cummingsville, Woburn","$1,495",1 Bed,1.5 Bath
2782,"Hyde Square, Jamaica Plain, Boston","$3,200",3 Bed,1 Bath
2783,"Kenmore, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$4,200",3 Bed,1.5 Bath
2784,"St. Elizabeth's, Brighton, Boston","$2,295",2 Bed,1 Bath
2785,"Coolidge Corner, Brookline","$2,500",1 Bed,1 Bath
2786,"Central Maverick Square - Paris Street, East Boston, Boston","$3,800",4 Bed,2.5 Bath
2787,"Lower Roxbury, Roxbury, Boston","$3,000",2 Bed,1 Bath
2788,"St. Elizabeth's, Brighton, Boston","$3,700",4 Bed,2 Bath
2789,"Hyde Square, Jamaica Plain, Boston","$2,900",2 Bed,1 Bath
2790,"East Cambridge, Cambridge","$5,200",3 Bed,2 Bath
2791,"North Allston, Allston, Boston","$2,700",3 Bed,1 Bath
2792,"Commonwealth, Brighton, Boston","$1,825",1 Bed,1 Bath
2793,"Allston, Boston","$3,850",5 Bed,1.5 Bath
2794,"West Medford, Medford","$5,000",6 Bed,4 Bath
2795,"Commonwealth, Brighton, Boston","$2,295",2 Bed,1 Bath
2796,"Allston, Boston","$2,800",2 Bed,2 Bath
2797,"North Allston, Allston, Boston","$3,400",4 Bed,1.5 Bath
2798,"Back Bay West, Back Bay, Boston","$4,500",2 Bed,1 Bath
2799,"Watertown West End, Watertown","$3,400",4 Bed,2 Bath
2800,"Oak Square, Brighton, Boston","$2,900",3 Bed,2 Bath
2801,"North End, Boston","$2,830",2 Bed,1 Bath
2802,"Jeffries Point - Airport, East Boston, Boston","$3,600",4 Bed,1 Bath
2803,"Oak Square, Brighton, Boston","$4,600",5 Bed,3.5 Bath
2804,"North Waltham, Waltham","$2,150",2 Bed,1 Bath
2805,"North Allston, Allston, Boston","$3,500",4 Bed,2 Bath
2806,"Allston, Boston","$4,950",4 Bed,2 Bath
2807,"Mission Hill, Boston","$1,950",1 Bed,1 Bath
2808,"Oak Square, Brighton, Boston","$3,250",4 Bed,2 Bath
2809,"Oak Square, Brighton, Boston","$2,995",3 Bed,1 Bath
2810,"Eagle Hill, East Boston, Boston","$3,300",4 Bed,1 Bath
2811,"Powder House, Somerville","$3,300",3 Bed,1 Bath
2812,"Washington Square, Brookline","$2,100",1 Bed,1 Bath
2813,"Aggasiz - Harvard University, Cambridge","$2,300",1 Bed,1 Bath
2814,"Hyde Square, Jamaica Plain, Boston","$3,500",3 Bed,2 Bath
2815,"Hyde Square, Jamaica Plain, Boston","$3,500",3 Bed,2 Bath
2816,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,750",2 Bed,1 Bath
2817,"Kenmore, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,700",2 Bed,1 Bath
2818,"Allston, Boston","$2,200",2 Bed,1 Bath
2819,"Coolidge Corner, Brookline","$4,450",3 Bed,1 Bath
2820,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$5,100",3 Bed,2 Bath
2821,"North End, Boston","$2,830",2 Bed,1 Bath
2822,"Downtown Boston, Boston","$3,650",2 Bed,2 Bath
2823,"Downtown Boston, Boston","$4,189",2 Bed,2 Bath
2824,"Commonwealth, Brighton, Boston","$2,450",2 Bed,1 Bath
2825,"Chinatown - Leather District, Boston","$6,055",2 Bed,2 Bath
2826,"Oak Square, Brighton, Boston","$2,900",3 Bed,1 Bath
2827,"Oak Square, Brighton, Boston","$3,000",3 Bed,1.5 Bath
2828,"Commonwealth, Brighton, Boston","$3,800",4 Bed,2 Bath
2829,"Oak Square, Brighton, Boston","$4,300",6 Bed,2 Bath
2830,"Commonwealth, Brighton, Boston","$2,750",3 Bed,1 Bath
2831,"Bay Village, Boston","$2,600",1 Bed,1 Bath
2832,"Oak Hill, Newton","$2,650",1 Bed,1.5 Bath
2833,"Chestnut Hill, Brookline","$3,200",3 Bed,1 Bath
2834,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,400",1 Bed,1 Bath
2835,"Coolidge Corner, Brookline","$3,075",1 Bed,1 Bath
2836,"Coolidge Corner, Brookline","$3,900",3 Bed,1 Bath
2837,"Lower Roxbury, Roxbury, Boston","$4,200",4 Bed,2 Bath
2838,"Beacon Hill, Boston","$2,999",2 Bed,1 Bath
2839,"Coolidge Corner, Brookline","$3,195",2 Bed,1 Bath
2840,"Auburndale, Newton","$3,700",3 Bed,2.5 Bath
2841,"North End, Boston","$2,830",2 Bed,1 Bath
2842,"Downtown Boston, Boston","$3,650",2 Bed,2 Bath
2843,"Downtown Boston, Boston","$4,189",2 Bed,2 Bath
2844,"Commonwealth, Brighton, Boston","$2,450",2 Bed,1 Bath
2845,"Chinatown - Leather District, Boston","$6,055",2 Bed,2 Bath
2846,"Oak Square, Brighton, Boston","$3,400",3 Bed,2 Bath
2847,"St. Marks, Dorchester, Boston","$2,000",1 Bed,1 Bath
2848,"Allston, Boston","$2,300",1 Bed,1 Bath
2849,"Oak Square, Brighton, Boston","$2,400",4 Bed,1.5 Bath
2850,"Coolidge Corner, Brookline","$4,900",4 Bed,2 Bath
2851,"Beacon Hill, Boston","$3,750",2 Bed,2 Bath
2852,"Highland Park, Roxbury, Boston","$2,600",3 Bed,1.5 Bath
2853,"Neighborhood Nine, Cambridge","$3,000",2 Bed,1 Bath
2854,"Oak Square, Brighton, Boston","$3,300",4 Bed,2 Bath
2855,"Ward Two, Somerville","$2,700",3 Bed,1 Bath
2856,"Jeffries Point - Airport, East Boston, Boston","$2,400",2 Bed,1.5 Bath
2857,"Commonwealth, Brighton, Boston","$4,300",5 Bed,2 Bath
2858,"Hyde Square, Jamaica Plain, Boston","$3,400",3 Bed,2 Bath
2859,"St. Elizabeth's, Brighton, Boston","$2,250",2 Bed,1 Bath
2860,"Winter Hill, Somerville","$2,214",1 Bed,1 Bath
2861,"Downtown Boston, Boston","$3,650",2 Bed,2 Bath
2862,"Downtown Boston, Boston","$4,189",2 Bed,2 Bath
2863,"Commonwealth, Brighton, Boston","$2,450",2 Bed,1 Bath
2864,"Chinatown - Leather District, Boston","$6,055",2 Bed,2 Bath
2865,"Washington Square, Brookline","$3,100",2 Bed,1 Bath
2866,"Back Bay West, Back Bay, Boston","$3,850",2 Bed,1 Bath
2867,"Neighborhood Nine, Cambridge","$3,140",1 Bed,1 Bath
2868,"Mission Hill, Boston","$3,200",4 Bed,1 Bath
2869,"Allston, Boston","$4,800",4 Bed,2 Bath
2870,"Cambridge Highlands, Cambridge","$3,270",2 Bed,2 Bath
2871,"Neighborhood Nine, Cambridge","$2,200",1 Bed,1 Bath
2872,"Mission Hill, Boston","$4,200",5 Bed,1 Bath
2873,"Forest Hills - Woodbourne, Jamaica Plain, Boston","$3,400",4 Bed,2 Bath
2874,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,100",1 Bed,1 Bath
2875,"Coolidge Corner, Brookline","$4,900",3 Bed,2 Bath
2876,"Coolidge Corner, Brookline","$4,200",3 Bed,1 Bath
2877,"East Somerville, Somerville","$3,775",4 Bed,2 Bath
2878,"Hyde Square, Jamaica Plain, Boston","$4,500",5 Bed,2 Bath
2879,"Downtown Boston, Boston","$5,221",3 Bed,2 Bath
2880,"Allston, Boston","$4,500",5 Bed,2 Bath
2881,"Ten Hills, Somerville","$3,950",4 Bed,1.5 Bath
2882,"Jeffries Point - Airport, East Boston, Boston","$2,700",3 Bed,1 Bath
2883,"Allston, Boston","$1,895",1 Bed,1 Bath
2884,"Downtown Boston, Boston","$4,680",2 Bed,2 Bath
2885,"Inman Square, Cambridge","$3,300",3 Bed,1 Bath
2886,"North Allston, Allston, Boston","$3,300",4 Bed,1 Bath
2887,"Coolidge Corner, Brookline","$3,000",1 Bed,1 Bath
2888,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,150",2 Bed,1 Bath
2889,"Addison - Orange, Chelsea","$2,975",2 Bed,2 Bath
2890,"Oak Square, Brighton, Boston","$3,800",4 Bed,2 Bath
2891,"Coolidge Corner, Brookline","$3,900",3 Bed,1 Bath
2892,"Lower Roxbury, Roxbury, Boston","$5,600",3 Bed,1 Bath
2893,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,400",2 Bed,1 Bath
2894,"Hyde Square, Jamaica Plain, Boston","$3,250",3 Bed,2 Bath
2895,"Eagle Hill, East Boston, Boston","$2,400",3 Bed,1 Bath
2896,"Allston, Boston","$2,300",2 Bed,1 Bath
2897,"North Allston, Allston, Boston","$2,195",2 Bed,1 Bath
2898,"Allston, Boston","$2,395",2 Bed,1 Bath
2899,"Kenmore, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$6,500",4 Bed,3 Bath
2900,"Oak Square, Brighton, Boston","$2,400",3 Bed,1 Bath
2901,"Ten Hills, Somerville","$3,950",4 Bed,1.5 Bath
2902,"Mission Hill, Boston","$3,100",3 Bed,1 Bath
2903,"Oak Square, Brighton, Boston","$3,700",4 Bed,3 Bath
2904,"Oak Square, Brighton, Boston","$2,900",3 Bed,2 Bath
2905,"Oak Square, Brighton, Boston","$2,900",3 Bed,1 Bath
2906,"Oak Square, Brighton, Boston","$2,350",2 Bed,1 Bath
2907,"Washington Square, Brookline","$3,500",2 Bed,2 Bath
2908,"Columbus, South End, Boston","$3,600",1 Bed,1 Bath
2909,"Teele Square, Somerville","$2,400",1 Bed,1 Bath
2910,"Chinatown - Leather District, Boston","$4,975",2 Bed,2 Bath
2911,"Oak Square, Brighton, Boston","$2,700",3 Bed,2 Bath
2912,"Allston Village, Allston, Boston","$5,900",1 Bed,1 Bath
2913,"Commonwealth, Brighton, Boston","$1,750",1 Bed,1 Bath
2914,"North End, Boston","$2,800",1 Bed,1 Bath
2915,"Allston, Boston","$2,200",1 Bed,1 Bath
2916,"St. Elizabeth's, Brighton, Boston","$1,800",1 Bed,1 Bath
2917,"St. Elizabeth's, Brighton, Boston","$3,500",4 Bed,1.5 Bath
2918,"Coolidge Corner, Brookline","$6,200",4 Bed,2 Bath
2919,"Harbor View - Orient Heights, East Boston, Boston","$2,700",3 Bed,1 Bath
2920,"Hyde Square, Jamaica Plain, Boston","$2,900",3 Bed,1 Bath
2921,"Ten Hills, Somerville","$3,950",4 Bed,1.5 Bath
2922,"Mission Hill, Boston","$3,100",3 Bed,1 Bath
2923,"Mission Hill, Boston","$2,595",2 Bed,1 Bath
2924,"Commonwealth, Brighton, Boston","$2,800",2 Bed,2 Bath
2925,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,300",1 Bed,1 Bath
2926,"St. Elizabeth's, Brighton, Boston","$3,400",3 Bed,1 Bath
2927,"Coolidge Corner, Boston","$1,725",1 Bed,1 Bath
2928,"Brookline Village, Brookline","$1,950",1 Bed,1 Bath
2929,"Allston, Boston","$7,200",7 Bed,3 Bath
2930,"Oak Square, Brighton, Boston","$2,250",3 Bed,1 Bath
2931,"St. Elizabeth's, Brighton, Boston","$2,450",2 Bed,1 Bath
2932,"Allston, Boston","$3,620",4 Bed,2 Bath
2933,"Glenwood, Medford","$2,400",3 Bed,1 Bath
2934,"St. Elizabeth's, Brighton, Boston","$2,900",4 Bed,2 Bath
2935,"Beacon Hill, Boston","$2,800",2 Bed,1 Bath
2936,"Allston, Boston","$3,425",3 Bed,2 Bath
2937,"Coolidge Corner, Brookline","$3,000",2 Bed,1 Bath
2938,"Kenmore, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,150",1 Bed,1 Bath
2939,"Coolidge Corner, Brookline","$4,500",4 Bed,2 Bath
2940,"Oak Square, Brighton, Boston","$2,400",4 Bed,2 Bath
2941,"Mission Hill, Boston","$3,100",3 Bed,1 Bath
2942,"Mission Hill, Boston","$2,595",2 Bed,1 Bath
2943,"Mission Hill, Boston","$3,100",3 Bed,1 Bath
2944,"Mission Hill, Boston","$5,650",5 Bed,2 Bath
2945,"Kenmore, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$6,500",4 Bed,3 Bath
2946,"Central Maverick Square - Paris Street, East Boston, Boston","$3,800",4 Bed,2 Bath
2947,"Prudential - St. Botolph, Back Bay, Boston","$3,750",2 Bed,1 Bath
2948,"South Side, Waltham","$2,195",1 Bed,1 Bath
2949,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,250",1 Bed,1 Bath
2950,"Central Maverick Square - Paris Street, East Boston, Boston","$2,950",2 Bed,2 Bath
2951,"Commonwealth, Brighton, Boston","$3,400",4 Bed,2 Bath
2952,"Coolidge Corner, Brookline","$3,000",2 Bed,1 Bath
2953,"Mission Hill, Boston","$5,400",4 Bed,1 Bath
2954,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,332",1 Bed,1 Bath
2955,"North Allston, Allston, Boston","$4,600",6 Bed,2 Bath
2956,"Beacon Hill, Boston","$10,000",4 Bed,3.5 Bath
2957,"Oak Square, Brighton, Boston","$2,500",3 Bed,1 Bath
2958,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$4,500",3 Bed,1 Bath
2959,"Coolidge Corner, Brookline","$7,800",5 Bed,2 Bath
2960,"Jamaica Central - South Sumner, Jamaica Plain, Boston","$2,295",2 Bed,1 Bath
2961,"Mission Hill, Boston","$2,595",2 Bed,1 Bath
2962,"Mission Hill, Boston","$3,100",3 Bed,1 Bath
2963,"Kenmore, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,350",1 Bed,1 Bath
2964,"West End, Boston","$2,565",Studio,1 Bath
2965,"Jamaica Central - South Sumner, Jamaica Plain, Boston","$2,295",2 Bed,1 Bath
2966,"Sav-Mor, Roxbury, Boston","$2,900",3 Bed,2 Bath
2967,"Commonwealth, Brighton, Boston","$3,600",4 Bed,2 Bath
2968,"Waterfront, North End, Boston","$2,850",2 Bed,2 Bath
2969,"Oak Square, Brighton, Boston","$2,400",3 Bed,1 Bath
2970,"Mission Hill, Boston","$3,500",4 Bed,1 Bath
2971,"Cushing Square, Belmont","$2,395",2 Bed,1 Bath
2972,"Allston, Boston","$2,780",2 Bed,1.5 Bath
2973,"Prudential - St. Botolph, Back Bay, Boston","$3,750",2 Bed,1 Bath
2974,"Oak Square, Brighton, Boston","$2,150",2 Bed,1 Bath
2975,"Mission Hill, Boston","$2,995",3 Bed,1 Bath
2976,"Porter Square, Cambridge","$2,400",1 Bed,1 Bath
2977,"Lower Roxbury, Roxbury, Boston","$4,500",4 Bed,1 Bath
2978,"North Allston, Allston, Boston","$2,700",3 Bed,1 Bath
2979,"Allston, Boston","$2,925",3 Bed,1 Bath
